country,product_gmid,unified_price,resale_price,tender_price,supply_price,promotion
TZ,1,0,0,0,0,non-promoted
TZ,373876,0,0,0,0,non-promoted
TZ,2,0,0,0,0,non-promoted
TZ,477045,0,0,0,0,non-promoted
TZ,475987,0,0,0,0,non-promoted
TZ,475988,0,0,0,0,non-promoted
TZ,698116,0,0,0,0,non-promoted
TZ,679090,0,0,0,0,non-promoted
TZ,654229,0,0,0,0,non-promoted
TZ,651737,0,0,0,0,non-promoted
TZ,352016,0,0,0,0,non-promoted
TZ,476959,0,0,0,0,non-promoted
TZ,476936,0,0,0,0,non-promoted
TZ,652574,0,0,0,0,non-promoted
TZ,653030,0,0,0,0,non-promoted
TZ,651969,0,0,0,0,non-promoted
TZ,655022,0,0,0,0,non-promoted
TZ,655023,0,0,0,0,non-promoted
TZ,655024,0,0,0,0,non-promoted
TZ,655025,0,0,0,0,non-promoted
TZ,554510,0,0,0,0,non-promoted
TZ,141662,0,0,0,0,non-promoted
TZ,371243,0,0,0,0,non-promoted
TZ,693896,0,0,0,0,non-promoted
TZ,407096,0,0,0,0,non-promoted
TZ,370351,0,0,0,0,non-promoted
TZ,618677,0,0,0,0,non-promoted
TZ,641849,0,0,0,0,non-promoted
TZ,728129,0,0,0,0,non-promoted
TZ,642931,0,0,0,0,non-promoted
TZ,643216,0,0,0,0,non-promoted
TZ,643215,0,0,0,0,non-promoted
TZ,592593,0,0,0,0,non-promoted
TZ,671538,0,0,0,0,non-promoted
TZ,664051,0,0,0,0,non-promoted
TZ,67294,0,0,0,0,non-promoted
TZ,645817,0,0,0,0,non-promoted
TZ,645815,0,0,0,0,non-promoted
TZ,476963,0,0,0,0,non-promoted
TZ,476006,0,0,0,0,non-promoted
TZ,476009,0,0,0,0,non-promoted
TZ,475271,0,0,0,0,non-promoted
TZ,477034,0,0,0,0,non-promoted
TZ,477037,0,0,0,0,non-promoted
TZ,477015,0,0,0,0,non-promoted
TZ,476043,0,0,0,0,non-promoted
TZ,390465,0,0,0,0,non-promoted
TZ,390470,0,0,0,0,non-promoted
TZ,264456,0,0,0,0,non-promoted
TZ,476933,0,0,0,0,non-promoted
TZ,516219,0,0,0,0,non-promoted
TZ,241634,0,0,0,0,non-promoted
TZ,615902,0,0,0,0,non-promoted
TZ,615926,0,0,0,0,non-promoted
TZ,518946,0,0,0,0,non-promoted
TZ,505579,0,0,0,0,non-promoted
TZ,292174,0,0,0,0,non-promoted
TZ,506742,0,0,0,0,non-promoted
TZ,507364,0,0,0,0,non-promoted
TZ,436418,0,0,0,0,non-promoted
TZ,506704,0,0,0,0,non-promoted
TZ,506739,0,0,0,0,non-promoted
TZ,3,0,0,0,0,non-promoted
TZ,653084,0,0,0,0,non-promoted
TZ,651777,0,0,0,0,non-promoted
TZ,660193,0,0,0,0,non-promoted
TZ,287552,0,0,0,0,non-promoted
TZ,287550,0,0,0,0,non-promoted
TZ,289137,0,0,0,0,non-promoted
TZ,289138,0,0,0,0,non-promoted
TZ,287553,0,0,0,0,non-promoted
TZ,298689,0,0,0,0,non-promoted
TZ,374872,0,0,0,0,non-promoted
TZ,298693,0,0,0,0,non-promoted
TZ,298691,0,0,0,0,non-promoted
TZ,222428,0,0,0,0,non-promoted
TZ,258746,0,0,0,0,non-promoted
TZ,477825,0,0,0,0,non-promoted
TZ,479387,0,0,0,0,non-promoted
TZ,479530,0,0,0,0,non-promoted
TZ,323473,0,0,0,0,non-promoted
TZ,275807,0,0,0,0,non-promoted
TZ,213847,0,0,0,0,non-promoted
TZ,99114,0,0,0,0,non-promoted
TZ,312451,0,0,0,0,non-promoted
TZ,476998,0,0,0,0,non-promoted
TZ,283389,0,0,0,0,non-promoted
TZ,636825,0,0,0,0,non-promoted
TZ,306632,0,0,0,0,non-promoted
TZ,263980,0,0,0,0,non-promoted
TZ,54423,0,0,0,0,non-promoted
TZ,310637,0,0,0,0,non-promoted
TZ,694156,0,0,0,0,non-promoted
TZ,413689,0,0,0,0,non-promoted
TZ,414074,0,0,0,0,non-promoted
TZ,340973,0,0,0,0,non-promoted
TZ,670688,0,0,0,0,non-promoted
TZ,213711,0,0,0,0,non-promoted
TZ,481300,0,0,0,0,non-promoted
TZ,627595,0,0,0,0,non-promoted
TZ,627597,0,0,0,0,non-promoted
TZ,627667,0,0,0,0,non-promoted
TZ,282348,0,0,0,0,non-promoted
TZ,209742,0,0,0,0,non-promoted
TZ,633072,0,0,0,0,non-promoted
TZ,639628,0,0,0,0,non-promoted
TZ,612011,0,0,0,0,non-promoted
TZ,477044,0,0,0,0,non-promoted
UG,645820,0,0,0,0,non-promoted
UG,645818,0,0,0,0,non-promoted
UG,261608,0,0,0,0,non-promoted
UG,645819,0,0,0,0,non-promoted
UG,321233,0,0,0,0,non-promoted
UG,307013,0,0,0,0,non-promoted
UG,475652,0,0,0,0,non-promoted
UG,475862,0,0,0,0,non-promoted
UG,380567,0,0,0,0,non-promoted
UG,539185,0,0,0,0,non-promoted
UG,539183,0,0,0,0,non-promoted
UG,539181,0,0,0,0,non-promoted
UG,539182,0,0,0,0,non-promoted
UG,196680,0,0,0,0,non-promoted
UG,196681,0,0,0,0,non-promoted
UG,247832,0,0,0,0,non-promoted
UG,247831,0,0,0,0,non-promoted
UG,373881,0,0,0,0,non-promoted
UG,373877,0,0,0,0,non-promoted
UG,373878,0,0,0,0,non-promoted
UG,338356,0,0,0,0,non-promoted
UG,373879,0,0,0,0,non-promoted
UG,341781,0,0,0,0,non-promoted
UG,306725,0,0,0,0,non-promoted
UG,373875,0,0,0,0,non-promoted
UG,213860,0,0,0,0,non-promoted
UG,1,0,0,0,0,non-promoted
UG,373876,0,0,0,0,non-promoted
UG,2,0,0,0,0,non-promoted
UG,477045,0,0,0,0,non-promoted
UG,475987,0,0,0,0,non-promoted
UG,475988,0,0,0,0,non-promoted
UG,698116,0,0,0,0,non-promoted
UG,679090,0,0,0,0,non-promoted
UG,654229,0,0,0,0,non-promoted
UG,651737,0,0,0,0,non-promoted
UG,352016,0,0,0,0,non-promoted
UG,476959,0,0,0,0,non-promoted
UG,476936,0,0,0,0,non-promoted
UG,652574,0,0,0,0,non-promoted
UG,653030,0,0,0,0,non-promoted
UG,651969,0,0,0,0,non-promoted
UG,655022,0,0,0,0,non-promoted
UG,655023,0,0,0,0,non-promoted
UG,655024,0,0,0,0,non-promoted
UG,655025,0,0,0,0,non-promoted
UG,554510,0,0,0,0,non-promoted
UG,141662,0,0,0,0,non-promoted
UG,371243,0,0,0,0,non-promoted
UG,693896,0,0,0,0,non-promoted
UG,407096,0,0,0,0,non-promoted
UG,370351,0,0,0,0,non-promoted
UG,618677,0,0,0,0,non-promoted
UG,641849,0,0,0,0,non-promoted
UG,728129,0,0,0,0,non-promoted
UG,642931,0,0,0,0,non-promoted
UG,643216,0,0,0,0,non-promoted
UG,643215,0,0,0,0,non-promoted
UG,592593,0,0,0,0,non-promoted
UG,671538,0,0,0,0,non-promoted
UG,664051,0,0,0,0,non-promoted
UG,67294,0,0,0,0,non-promoted
UG,645817,0,0,0,0,non-promoted
UG,645815,0,0,0,0,non-promoted
UG,476963,0,0,0,0,non-promoted
UG,476006,0,0,0,0,non-promoted
UG,476009,0,0,0,0,non-promoted
UG,475271,0,0,0,0,non-promoted
UG,477034,0,0,0,0,non-promoted
UG,477037,0,0,0,0,non-promoted
UG,477015,0,0,0,0,non-promoted
UG,476043,0,0,0,0,non-promoted
UG,390465,0,0,0,0,non-promoted
UG,390470,0,0,0,0,non-promoted
UG,264456,0,0,0,0,non-promoted
UG,476933,0,0,0,0,non-promoted
UG,516219,0,0,0,0,non-promoted
UG,241634,0,0,0,0,non-promoted
UG,615902,0,0,0,0,non-promoted
UG,615926,0,0,0,0,non-promoted
UG,518946,0,0,0,0,non-promoted
UG,505579,0,0,0,0,non-promoted
UG,292174,0,0,0,0,non-promoted
UG,506742,0,0,0,0,non-promoted
UG,507364,0,0,0,0,non-promoted
UG,436418,0,0,0,0,non-promoted
UG,506704,0,0,0,0,non-promoted
UG,506739,0,0,0,0,non-promoted
UG,3,0,0,0,0,non-promoted
UG,653084,0,0,0,0,non-promoted
UG,651777,0,0,0,0,non-promoted
UG,660193,0,0,0,0,non-promoted
UG,287552,0,0,0,0,non-promoted
UG,287550,0,0,0,0,non-promoted
UG,289137,0,0,0,0,non-promoted
UG,289138,0,0,0,0,non-promoted
UG,287553,0,0,0,0,non-promoted
UG,298689,0,0,0,0,non-promoted
UG,374872,0,0,0,0,non-promoted
UG,298693,0,0,0,0,non-promoted
UG,298691,0,0,0,0,non-promoted
UG,222428,0,0,0,0,non-promoted
UG,258746,0,0,0,0,non-promoted
UG,477825,0,0,0,0,non-promoted
UG,479387,0,0,0,0,non-promoted
UG,479530,0,0,0,0,non-promoted
UG,323473,0,0,0,0,non-promoted
UG,275807,0,0,0,0,non-promoted
UG,213847,0,0,0,0,non-promoted
UG,99114,0,0,0,0,non-promoted
UG,312451,0,0,0,0,non-promoted
UG,476998,0,0,0,0,non-promoted
UG,283389,0,0,0,0,non-promoted
UG,636825,0,0,0,0,non-promoted
UG,306632,0,0,0,0,non-promoted
UG,263980,0,0,0,0,non-promoted
UG,54423,0,0,0,0,non-promoted
UG,310637,0,0,0,0,non-promoted
UG,694156,0,0,0,0,non-promoted
UG,413689,0,0,0,0,non-promoted
UG,414074,0,0,0,0,non-promoted
UG,340973,0,0,0,0,non-promoted
UG,670688,0,0,0,0,non-promoted
UG,213711,0,0,0,0,non-promoted
UG,481300,0,0,0,0,non-promoted
UG,627595,0,0,0,0,non-promoted
UG,627597,0,0,0,0,non-promoted
UG,627667,0,0,0,0,non-promoted
UG,282348,0,0,0,0,non-promoted
UG,209742,0,0,0,0,non-promoted
UG,633072,0,0,0,0,non-promoted
UG,639628,0,0,0,0,non-promoted
UG,612011,0,0,0,0,non-promoted
UG,477044,0,0,0,0,non-promoted
